faculty_id,name,designation,department_id,email,phone,joining_date
1,Christopher Williams,Assistant Professor,4,joneschristopher@gmail.com,981.046.2089x21563,2017-07-23
2,Debbie Knapp,Assistant Professor,6,kevinjackson@yahoo.com,8237200927,2025-01-16
3,Benjamin Hudson,Assistant Professor,5,lozanojonathan@hotmail.com,+1-876-307-0198x019,2024-10-13
4,Linda Henderson,Assistant Professor,5,donrobbins@fischer.com,(704)318-4046x021,2016-05-05
5,Jessica Robertson MD,Professor,5,ashley04@gmail.com,(882)986-6653,2017-05-27
6,Carrie Freeman,Professor,3,garciaallen@yahoo.com,708-567-1742,2019-06-28
7,Mr. Jacob Payne,Assistant Professor,3,jpotts@thomas-wells.com,064.398.0571,2022-04-13
8,Vanessa Nichols,Professor,2,sellersstephen@glover.com,709.195.2157,2018-10-14
9,Barbara Garrett,Assistant Professor,6,uwilliamson@davis-long.org,(793)270-5278,2021-06-07
10,Amber Hill,Professor,6,anthony89@gmail.com,+1-430-641-2650x1961,2023-01-31
11,Joshua Gonzalez,Professor,3,scontreras@yahoo.com,(194)406-4608x8871,2016-11-06
12,Joshua Jones,Professor,2,baileymallory@cooper-snyder.com,(128)738-5799,2021-05-02
13,John Mathews,Professor,3,millerwilliam@gonzalez.com,0963673342,2022-09-20
14,Michele Fisher,Associate Professor,4,ronaldvaughan@yahoo.com,016.650.2344,2019-07-07
15,Susan Nichols,Assistant Professor,2,jaycruz@gmail.com,001-401-873-2485x336,2022-07-06
16,Michelle Graham,Associate Professor,6,cyoung@cohen.com,+1-397-368-7989x5334,2017-01-04
17,James White,Professor,6,beckerwendy@yahoo.com,353.653.1100x355,2021-09-24
18,Jeremy Ortiz,Associate Professor,3,lori78@gmail.com,+1-285-196-6085x090,2017-07-29
19,Stacy Perry,Assistant Professor,4,richard50@reed-vargas.com,3220621416,2019-10-31
20,David Buck,Assistant Professor,3,ericamarquez@gmail.com,699-750-2619x03114,2020-08-14
21,Brittany Mosley,Professor,7,antonioknapp@yahoo.com,155-733-4905x2798,2019-03-23
22,Joshua Pace,Associate Professor,1,jeffrey09@smith-merritt.com,(764)307-2247x258,2022-05-04
23,Dorothy Moody,Associate Professor,1,ywhite@valdez.org,001-509-032-9508x72936,2018-02-22
24,Courtney Rose,Associate Professor,4,davidwhite@hotmail.com,(569)991-4772x76220,2023-03-14
25,John Parrish,Assistant Professor,5,kenneth37@frank.com,3515029152,2020-06-05
26,Brittany Combs,Assistant Professor,5,mgonzales@yahoo.com,(370)855-2816,2021-01-12
27,Christopher Bailey,Associate Professor,1,ggarcia@yahoo.com,+1-463-446-7109x99790,2023-11-05
28,Scott Jones,Assistant Professor,1,james77@gmail.com,251-161-8661x9068,2019-11-18
29,Michael Taylor,Assistant Professor,5,andreamurphy@rice-jones.net,(078)527-3986,2020-11-21
30,Jessica Williams,Associate Professor,2,kimberlybenjamin@yahoo.com,621-053-5081x58863,2016-02-29
31,Joanne Rodriguez,Assistant Professor,5,cliffordturner@williamson-rivera.com,963.522.7205x0883,2019-02-01
32,Norman Fischer,Associate Professor,3,sanchezmary@gmail.com,579.805.4659x21125,2022-04-17
33,Matthew Smith,Associate Professor,2,xfitzpatrick@wilson.org,001-608-674-2143x555,2022-11-14
34,Jennifer Lawson,Professor,3,lisa69@lawrence.biz,0183345957,2024-05-15
35,Emily Fuentes,Associate Professor,1,richarddurham@holmes.com,685.919.1294,2019-05-07
36,Kimberly Bond,Assistant Professor,2,gouldrebecca@yahoo.com,120.150.6447,2017-12-13
37,Mark White,Professor,3,vasquezjames@medina.com,508.829.8147x632,2019-04-14
38,Angela Moore,Associate Professor,3,christinevazquez@gmail.com,260.329.6450,2017-11-02
39,Glenda Montes,Professor,2,jlyons@yahoo.com,(844)323-9442,2017-09-10
40,Matthew Young,Assistant Professor,4,tracy84@hotmail.com,5834322241,2024-07-02
41,Hayden Hanna,Associate Professor,7,williambrown@smith-garcia.com,(999)042-6110x22956,2015-08-26
42,Wesley Holmes,Assistant Professor,5,mccallraymond@hotmail.com,827.113.7642x389,2018-07-06
43,Anita Bauer,Professor,6,christopher01@hotmail.com,(721)319-2507x5883,2019-09-08
44,Krista Robinson,Associate Professor,3,ngrant@yahoo.com,129.011.7299,2021-03-21
45,Joseph Jones,Professor,5,eking@perry.com,+1-613-757-7828x22228,2019-02-05
46,Scott Dorsey,Professor,7,oyork@yahoo.com,001-225-115-1451x60026,2021-08-31
47,Angela Gomez,Associate Professor,6,marshallcharles@peters.com,860.677.7341,2015-08-10
48,Mrs. Natalie Ball,Professor,5,jeffreynelson@mcdaniel.biz,409-108-0114x0017,2025-02-24
49,Elizabeth Hill,Assistant Professor,1,jacksonmason@chase.com,001-148-537-3295x4986,2018-09-03
50,Daniel Hess,Professor,6,william39@gmail.com,257.567.0089x9935,2018-10-17
51,Michael Bray,Assistant Professor,7,harrismichelle@campbell.com,931.109.9566x05744,2022-01-09
52,Jeffrey Palmer,Assistant Professor,5,justinpratt@gmail.com,(169)041-8806x472,2019-02-06
53,Debra Tucker,Professor,3,johnhanna@jenkins.com,+1-636-609-8581x3909,2022-03-16
54,Gregory Ruiz,Assistant Professor,6,ocooper@kennedy.info,886.039.1165x7324,2023-10-21
55,Robert Davis,Associate Professor,1,reginarobinson@gmail.com,(832)345-9364x86065,2022-07-30
56,Marie Schneider,Assistant Professor,2,sclark@gmail.com,932-564-3097,2016-06-20
